target_currency,source_currency,exchange_rate,trading_date
AED,USD,0.27,1/1/2022
ARS,USD,95.07,1/1/2022
AUD,USD,1.33,1/1/2022
BMD,USD,1,1/1/2022
BRL,USD,5.4,1/1/2022
CAD,USD,1.25,1/1/2022
CHF,USD,0.91,1/1/2022
CNY,USD,6.45,1/1/2022
CZK,USD,21.69,1/1/2022
DKK,USD,6.29,1/1/2022
EUR,USD,0.85,1/1/2022
MAD,USD,8.99,1/1/2022
MXN,USD,20.28,1/1/2022
MYR,USD,4.14,1/1/2022
NOK,USD,8.6,1/1/2022
NZD,USD,1.41,1/1/2022
PEN,USD,3.87,1/1/2022
PHP,USD,49.26,1/1/2022
PLN,USD,3.86,1/1/2022
RON,USD,0.85,1/1/2022
RUB,USD,73.53,1/1/2022
SEK,USD,8.58,1/1/2022
SGD,USD,1.34,1/1/2022
THB,USD,32.01,1/1/2022
TWD,USD,27.94,1/1/2022
WON,USD,1144.89,1/1/2022
ZAR,USD,14.78,1/1/2022