org_id,org_name,taxation
30,Zynga Inc,Qualified
39,Sequoia,Qualified
108,Progenity,Qualified
112,Danaher,Qualified
70,Datadog,Qualified
148,Respira Technologies,Qualified
160,Schindler,Qualified
151,Accesso,Non-Qualified
164,Desmarais,Qualified
34,Maven,Non-Qualified
168,Chime,Qualified
170,Dentsu,Qualified
110,ServiceTitan,Qualified
175,ValueAct,Non-Qualified
182,Synnex,Qualified
184,Golden Hippo,Qualified
185,Emergence Capital Partners,Qualified
188,Locust Street Group,Non-Qualified
194,DocuSign,Non-Qualified
194,DocuSign Global,Non-Qualified
187,Centerbridge,Qualified
209,Coterie,Non-Qualified
215,Redesign Health,Qualified
216,LeapYear,Qualified
217,Checkr,Non-Qualified
218,Checkr Global,Non-Qualified
228,Clari,Qualified
230,Ferrara,Qualified
250,Fremont,Qualified
231,General Atlantic,Non-Qualified
236,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",Qualified
229,In-Q-Tel (IQT),Non-Qualified
247,Innocence Project,Non-Qualified
251,IVP,Non-Qualified
235,Polen Capital Management,Non-Qualified
252,Remitly Inc,Non-Qualified
241,Riviera Partners,Non-Qualified
248,Saks.com,Non-Qualified
220,VICI Properties,Non-Qualified
239,Scotts,Non-Qualified
258,Udemy,Qualified
221,Biomarin Pharmaceuticals,Non-Qualified
237,Rambus,Non-Qualified
254,Rambus Bulgaria India,Non-Qualified
240,AAH,Non-Qualified
243,AAH PTE,Non-Qualified
61,Workday,Qualified
107,WSGR,Non-Qualified
149,Varde,Non-Qualified
68,The Hartford,Non-Qualified
263,Contentful,Non-Qualified
268,Contentful International,Non-Qualified
115,Indeed,Non-Qualified
276,Kohler,Qualified
273,Alector,Non-Qualified
260,Prsym Capital,Non-Qualified
266,GoFundMe,Non-Qualified
267,This American Life,Non-Qualified
271,Gwinnett County,Qualified
278,Holmusk,Non-Qualified
281,Engine No. 1,Non-Qualified
285,GHD US,Non-Qualified
286,GHD International,Non-Qualified
288,L Catterton,Non-Qualified
280,DFA,Qualified
246,Ridecell,Non-Qualified
289,Lovitt & Touche,Non-Qualified
294,CVC,Qualified
296,Honeycomb,Non-Qualified
287,Treeline Biosciences,Non-Qualified
284,Tradeweb,Non-Qualified